,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,divnomorskoye,64.0,RU,1514053323.0,100,43.23,37.65,34.0,8.75
1,shelburne,90.0,CA,1514052480.0,100,40.86,-64.23,30.2,9.37
2,butaritari,88.0,KI,1514053324.0,100,16.09,179.33,82.4,18.43
3,merauke,64.0,ID,1514053324.0,91,-9.23,138.73,81.0,8.03
4,broken hill,24.0,AU,1514053324.0,32,-27.82,142.84,67.8,6.29
5,rikitea,100.0,PF,1514053325.0,100,-85.78,-136.38,77.3,10.54
6,sitka,0.0,US,1514053325.0,58,53.84,-138.39,30.9,8.37
7,hermanus,0.0,ZA,1514053325.0,70,-83.49,-2.23,64.2,2.59
8,rikitea,100.0,PF,1514053325.0,100,-43.04,-109.57,77.3,10.54
9,bethel,20.0,US,1514051580.0,64,46.47,-166.14,39.2,27.51
10,yellowknife,90.0,CA,1514052000.0,76,79.80,-102.81,-11.2,4.7
11,castro,68.0,CL,1514053327.0,69,-46.61,-100.06,56.5,4.34
12,rikitea,100.0,PF,1514053325.0,100,-30.37,-114.52,77.3,10.54
13,bethel,20.0,US,1514051580.0,64,58.39,-160.67,39.2,27.51
14,iralaya,75.0,HN,1514048400.0,94,16.37,-82.21,78.8,11.41
16,nizhniy kuranakh,44.0,RU,1514053328.0,54,59.63,125.52,-11.8,5.06
17,saint george,20.0,BM,1514051400.0,74,29.78,-60.60,37.4,9.17
18,talara,0.0,PE,1514048400.0,62,-5.33,-84.86,84.2,12.75
19,taveta,0.0,KE,1514053329.0,36,-2.59,37.99,77.7,12.17
20,albany,90.0,AU,1514052540.0,93,-73.82,119.67,39.2,5.73
22,sahuaripa,0.0,MX,1514053329.0,39,28.69,-109.02,56.4,2.71
23,ushuaia,75.0,AR,1514048400.0,58,-70.42,-50.92,53.6,11.41
24,kavieng,76.0,PG,1514053330.0,100,12.25,153.39,83.7,8.14
25,san policarpo,64.0,PH,1514053330.0,100,13.71,128.02,78.8,12.62
26,puerto ayora,75.0,EC,1514052000.0,61,-19.65,-97.76,80.6,13.87
27,nanortalik,88.0,GL,1514053331.0,95,59.62,-45.51,31.2,8.3
28,quatre cocos,40.0,MU,1514048400.0,88,-16.98,68.59,77.0,5.82
29,ribeira grande,40.0,PT,1514052000.0,88,43.54,-37.70,64.4,13.87
30,rikitea,100.0,PF,1514053325.0,100,-53.86,-128.45,77.3,10.54
